ms, kg
331.337, -0.0068
384.690, -0.0068
433.987, -0.0067
495.652, -0.0067
542.742, -0.0066
579.587, -0.0066
633.305, -0.0066
646.011, -0.0066
694.437, -0.0066
747.760, -0.0065
783.317, -0.0065
848.463, -0.0065
886.289, -0.0065
903.691, -0.0064
933.264, -0.0064
974.759, -0.0064
1004.350, -0.0064
1034.038, -0.0064
1071.491, -0.0064
1138.470, -0.0064
1186.387, -0.0063
1246.953, -0.0063
1296.197, -0.0063
1345.571, -0.0063
1405.471, -0.0063
1459.867, -0.0062
1495.384, -0.0063
1531.040, -0.0063
1555.445, -0.0063
1574.433, -0.0062
1623.726, -0.0062
1678.438, -0.0062
1714.453, -0.0062
1750.054, -0.0062
1774.745, -0.0062
1811.745, -0.0062
1861.852, -0.0061
1874.166, -0.0061
1904.041, -0.0061
1939.537, -0.0061
1968.828, -0.0062
2011.021, -0.0062
2022.264, -0.0061
2089.631, -0.0061
2120.162, -0.0061
2162.394, -0.0061
2185.696, -0.0061
2221.270, -0.0062
2280.829, -0.0062
2337.650, -0.0062
2387.019, -0.0062
2416.600, -0.0061
2481.820, -0.0061
2499.945, -0.0060
2541.776, -0.0061
2598.181, -0.0061
2646.760, -0.0061
2708.601, -0.0061
2762.293, -0.0061
2787.553, -0.0061
2823.590, -0.0060
2889.996, -0.0060
2949.710, -0.0060
2992.147, -0.0059
3053.736, -0.0059
3084.152, -0.0059
3138.637, -0.0059
3181.075, -0.0059
3229.467, -0.0059
3259.076, -0.0059
3318.640, -0.0059
3384.031, -0.0058
3442.614, -0.0059
3484.122, -0.0059
3526.026, -0.0041
3550.354, -0.0010
3568.976, 0.0034
3630.609, 0.0138
3685.782, 0.0197
3729.112, 0.0255
3773.252, 0.0419
3791.934, 0.0490
3815.599, 0.0551
3834.485, 0.0716
3977.984, 0.0791
4093.671, 0.0909
4233.657, 0.0956
4338.082, 0.1053
4482.102, 0.1144
4584.695, 0.1266
4755.978, 0.1390
4837.267, 0.1444
4960.054, 0.1515
5079.672, 0.1645
5216.999, 0.1702
5335.829, 0.1745
5434.671, 0.1796
5562.763, 0.1862
5697.868, 0.1941
5809.829, 0.2033
5949.646, 0.2056
6090.269, 0.2110
6183.719, 0.2226
6293.400, 0.2270
6423.834, 0.2311
6546.308, 0.2370
6668.429, 0.2451
6778.837, 0.2519
6901.630, 0.2604
7019.496, 0.2651
7178.626, 0.2743
7270.674, 0.2900
7382.797, 0.2940
7529.775, 0.2976
7661.081, 0.3069
7762.812, 0.3109
7908.251, 0.3149
8009.025, 0.3281
8112.882, 0.3364
8258.646, 0.3458
8395.827, 0.3637
8499.625, 0.3712
8619.531, 0.3786
8739.354, 0.3856
8892.427, 0.3846
8992.081, 0.3804
9134.160, 0.3768
9258.181, 0.3771
9362.462, 0.3739
9476.048, 0.3696
9614.951, 0.3667
9743.155, 0.3666
9835.915, 0.3638
9948.285, 0.3573
10082.174, 0.3573
10241.649, 0.3567
10328.503, 0.3505
10480.367, 0.3481
10577.023, 0.3480
10709.525, 0.3444
10845.140, 0.3411
10937.946, 0.3389
11060.350, 0.3372
11177.782, 0.3349
11312.826, 0.3317
11440.971, 0.3288
11535.005, 0.3276
11663.170, 0.3252
11803.307, 0.3208
11907.217, 0.3197
12042.887, 0.3184
12171.220, 0.3134
12271.874, 0.3118
12412.659, 0.3107
12536.213, 0.3069
12658.576, 0.3046
12772.634, 0.3029
12898.688, 0.3001
13031.820, 0.2980
13126.333, 0.2958
13261.445, 0.2927
13387.320, 0.2912
13487.894, 0.2892
13647.566, 0.2853
13749.924, 0.2838
13874.422, 0.2824
14010.128, 0.2785
14132.390, 0.2767
14248.365, 0.2752
14358.589, 0.2737
14471.084, 0.2700
14619.051, 0.2683
14710.244, 0.2667
14865.009, 0.2635
14979.756, 0.2617
15105.179, 0.2599
15210.014, 0.2568
15342.261, 0.2551
15435.324, 0.2534
15600.905, 0.2501
15712.552, 0.2484
15818.946, 0.2469
15980.861, 0.2435
16075.361, 0.2418
16192.173, 0.2402
16300.247, 0.2369
16432.244, 0.2351
16546.695, 0.2334
16688.269, 0.2302
16822.972, 0.2286
16919.621, 0.2271
17043.900, 0.2238
17161.904, 0.2222
17289.986, 0.2207
17390.802, 0.2176
17516.662, 0.2160
17658.451, 0.2144
17762.974, 0.2113
17909.320, 0.2099
18009.479, 0.2083
18139.646, 0.2051
18279.760, 0.2036
18390.293, 0.2020
18513.673, 0.1990
18636.625, 0.1975
18763.113, 0.1961
18881.699, 0.1932
18988.056, 0.1917
19133.728, 0.1902
19252.683, 0.1873
19363.594, 0.1858
19515.802, 0.1843
19596.935, 0.1829
19719.757, 0.1799
19847.759, 0.1784
19947.457, 0.1769
20075.604, 0.1739
20235.126, 0.1725
20351.791, 0.1710
20465.772, 0.1680
20579.534, 0.1665
20721.320, 0.1650
20834.377, 0.1621
20934.907, 0.1607
21076.520, 0.1592
21217.877, 0.1564
21329.735, 0.1549
21444.175, 0.1535
21554.576, 0.1506
21672.124, 0.1492
21810.086, 0.1479
21937.442, 0.1451
22059.695, 0.1438
22154.876, 0.1424
22298.068, 0.1397
22414.980, 0.1383
22533.220, 0.1370
22648.709, 0.1343
22805.726, 0.1331
22912.082, 0.1318
23034.851, 0.1292
23155.376, 0.1278
23259.178, 0.1265
23428.121, 0.1239
23492.620, 0.1226
23644.803, 0.1214
23741.429, 0.1189
23884.170, 0.1176
24013.814, 0.1164
24094.937, 0.1151
24257.275, 0.1127
24393.012, 0.1116
24482.551, 0.1103
24649.302, 0.1080
24747.531, 0.1067
24854.276, 0.1056
24982.479, 0.1032
25088.288, 0.1021
25218.231, 0.1009
25350.438, 0.0986
25457.723, 0.0974
25574.304, 0.0963
25717.589, 0.0940
25857.029, 0.0928
25948.589, 0.0917
26060.213, 0.0895
26192.892, 0.0884
26314.386, 0.0873
26444.446, 0.0851
26549.704, 0.0840
26673.056, 0.0830
26815.835, 0.0808
26955.558, 0.0798
27035.748, 0.0787
27215.764, 0.0766
27299.856, 0.0756
27392.601, 0.0745
27539.542, 0.0724
27646.354, 0.0714
27773.564, 0.0704
27906.851, 0.0684
28029.536, 0.0674
28179.696, 0.0664
28274.738, 0.0644
28364.374, 0.0635
28498.674, 0.0625
28615.148, 0.0607
28749.401, 0.0596
28890.278, 0.0587
29047.001, 0.0568
29149.092, 0.0559
29261.862, 0.0549
29347.473, 0.0540
29500.024, 0.0522
29638.077, 0.0513
29732.275, 0.0504
29866.122, 0.0487
30022.098, 0.0478
30104.953, 0.0470
30223.929, 0.0454
30341.410, 0.0446
30499.247, 0.0438
30607.593, 0.0423
30723.110, 0.0415
30851.921, 0.0408
30942.992, 0.0393
31103.003, 0.0386
31183.077, 0.0379
31342.489, 0.0365
31453.203, 0.0358
31552.513, 0.0351
31721.083, 0.0337
31814.418, 0.0330
31946.111, 0.0324
32073.363, 0.0311
32190.142, 0.0305
32329.861, 0.0298
32439.187, 0.0286
32572.022, 0.0280
32699.039, 0.0273
32791.825, 0.0261
32905.144, 0.0256
33057.649, 0.0250
33171.884, 0.0239
33302.406, 0.0234
33405.396, 0.0228
33523.986, 0.0218
33659.587, 0.0213
33776.176, 0.0208
33879.623, 0.0199
34034.105, 0.0195
34108.334, 0.0191
34268.391, 0.0187
34370.911, 0.0180
34488.964, 0.0177
34636.106, 0.0173
34735.808, 0.0167
34871.479, 0.0165
35014.124, 0.0162
35096.342, 0.0157
35212.694, 0.0155
35346.776, 0.0152
35477.155, 0.0148
35617.521, 0.0145
35735.344, 0.0143
35875.416, 0.0140
35974.908, 0.0138
36137.253, 0.0136
36227.785, 0.0132
36313.583, 0.0130
36425.169, 0.0129
36606.831, 0.0126
36701.286, 0.0125
36821.545, 0.0123
36961.661, 0.0120
37038.671, 0.0119
37192.253, 0.0117
37316.122, 0.0114
37431.173, 0.0113
37557.120, 0.0112
37651.614, 0.0109
37840.668, 0.0108
37920.818, 0.0108
38106.748, 0.0105
38156.338, 0.0104
38279.483, 0.0103
38422.924, 0.0100
38548.110, 0.0100
38624.434, 0.0098
38771.232, 0.0097
38922.596, 0.0097
38986.149, 0.0096
39169.457, 0.0095
39234.166, 0.0093
39354.782, 0.0092
39532.636, 0.0091
39611.272, 0.0090
39766.856, 0.0090
39875.284, 0.0089
39997.967, 0.0087
40121.889, 0.0087
40220.482, 0.0086
40360.969, 0.0085
40509.498, 0.0084
40620.705, 0.0083
40711.616, 0.0082
40834.119, 0.0082
40979.925, 0.0081
41067.536, 0.0080
41196.553, 0.0079
41330.727, 0.0079
41455.448, 0.0078
41585.144, 0.0077
41694.277, 0.0077
